,createdAt,entity,entityType,label,chain_id,confidence,remove,alert_id
0,2023-03-08 01:26:24.342600467+00:00,0xa1b3c829c9da391fbbceec9b84e2a52061f1eb23,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-08 06:39:58.713748168+00:00,0x75d6fa9b5963273824d637cdb60ffe69bc42eeda,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-08 13:21:24.547303742+00:00,0x08915b57db78c0ff7e26b241820eede4b1badf2f,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-08 19:24:24.433006817+00:00,0x433d46d0c76841ef7fe48aee4399801ada3cadda,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-08 22:16:10.089516817+00:00,0x0999687f9d9fbcf57a9735bd81bc3d3feafb6ec2,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-09 02:56:17.846331252+00:00,0x8ba3ec9419497fd663846b0a2c6278f5add70105,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-09 06:25:02.078837574+00:00,0xc370f33f595913de942457f5c39870a34c4bc3b4,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-09 07:27:59.975027027+00:00,0x00000000e1a1a7883c90afc22f106f78084ebbfe,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-09 12:01:37.907882622+00:00,0x4da419348259d09ea9706160dbf992d255ed2dd1,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-09 15:10:57.629653511+00:00,0xa2065164a26ecd3775dcf22510ad1d2daef8bd2a,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-10 16:54:51.426175966+00:00,0xdfa90df235e1b866d7a227c06967a4848d5896c0,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-10 17:00:11.889364234+00:00,0xf53656409045312755aba5a1d6d62307e985e050,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-10 21:45:06.559896165+00:00,0x3895c7e8c65c4ad1102e16689a9f83b56bc67c14,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 00:02:44.222400433+00:00,0x9f335dfa31bfb56dfa153efd4092c96ca22fd789,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 00:06:38.005101792+00:00,0x65780c01487d68851b12a3e023cc474c3fa2ff2c,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 03:13:00.441367475+00:00,0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 04:34:05.566998987+00:00,0xb37844ae1456a5d26d81fcc8385afa691100e633,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 07:18:02.882426345+00:00,0x06b76a514b90ba9461eecfc61f3adaf5f7fc5cb8,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 17:05:36.885603538+00:00,0x659435857f32477413886d44e3427c871a093ddd,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-11 22:26:36.345479988+00:00,0xbde488b4a36afca07a4d330fa7aee7bb8cfbff68,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-12 00:10:18.245224753+00:00,0x1a60ad70cb3da07c80139090386e01116b5559d7,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-12 17:50:48.135738981+00:00,0x080f24fb12ffd5b1cab254087323459a5d6816ac,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-13 00:57:54.637113125+00:00,0xd4d41587cf18d0be20537d366735697f278e9319,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-15 14:03:46.015740948+00:00,0xd51481d9e4485f1146ab82c64c7dce3475931665,ADDRESS,phish / hack,,1,False,risky-address-label
0,2023-03-16 20:17:24.282675618+00:00,0x52414c8b908e9a75c3c8704b2ae5e39ab7156c05,ADDRESS,name|uniswap v3: reef,,1,False,label-sync
0,2023-03-16 20:17:26.766975171+00:00,0xfc70c0eaf7bca413aa35a45e11d86d3b7d1e081e,ADDRESS, uniswap,,1,False,label-sync
0,2023-03-16 20:17:50.123314372+00:00,0x5083b16da538c5022744526122243cf3bddb3bf2,ADDRESS,name|uniswap v2: ali-usdc,,1,False,label-sync
0,2023-03-16 20:18:26.141470747+00:00,0x485b9a41e8bf06e57bb64c6ba7cb04f9d53d2d76,ADDRESS,name|gemini: deployer 2,,1,False,label-sync
0,2023-03-16 20:18:29.704996965+00:00,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,ADDRESS, uniswap,,1,False,label-sync
0,2023-03-16 20:19:07.628968933+00:00,0x51f0c1938b0e67cafc7a6fc8eb6edd7fdbe002bc,ADDRESS, nft ,,1,False,label-sync
0,2023-03-16 20:19:27.200030339+00:00,0x43666bc33f5a3f2f29d17fed66e2fd3708ae4dbb,ADDRESS,name|uniswap v2: gayu0026amp;#128031,,1,False,label-sync
0,2023-03-16 20:19:29.724290466+00:00,0x9b9647431632af44be02ddd22477ed94d14aacaa,ADDRESS, blockchain,,1,False,label-sync
0,2023-03-16 20:43:46.592814265+00:00,0x8bd9c4b5ea8f6f14c9b14d830ddb67f3720d77f6,ADDRESS,dao voter,,1,False,label-sync
0,2023-03-16 20:43:51.908364670+00:00,0x59325733eb952a92e069c87f0a6168b29e80627f,ADDRESS,name|mocaverse: moca token,,1,False,label-sync
0,2023-03-16 20:44:48.747170198+00:00,0xfceaaf9792139bf714a694f868a215493461446d,ADDRESS,sushiswap,,1,False,label-sync
0,2023-03-16 20:44:49.593460352+00:00,0x38ea452219524bb87e18de1c24d3bb59510bd783,ADDRESS,name|stargate finance: s*usdt token,,1,False,label-sync
0,2023-03-16 20:45:17.893272099+00:00,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,ADDRESS,name|uniswap v2: paxg,,1,False,label-sync
0,2023-03-16 20:45:21.464945010+00:00,0x62979dff3b5eb032ecba1a5934d1fd4367bb695c,ADDRESS,name|uniswap v3: tsuka,,1,False,label-sync
0,2023-03-16 21:14:39.099973905+00:00,0x26fed484933fd9b1bdf2624ca7bafe082755b74b,ADDRESS,name|gemzy: deployer,,1,False,label-sync
0,2023-03-16 21:14:39.099973905+00:00,0xc39b2308be6b708457ee82ad35252c0c3c8f0d3b,ADDRESS,name|gemzy vaults: gemzyvaults token,,1,False,label-sync
0,2023-03-16 21:14:46.041637978+00:00,0xe75cf2b04b21262d64a262db4fe650b0bc85d17e,ADDRESS, safe multisig,,1,False,label-sync
0,2023-03-16 21:15:08.520437259+00:00,0x3b64216ad1a58f61538b4fa1b27327675ab7ed67,ADDRESS, mev builder,,1,False,label-sync
0,2023-03-16 21:15:10.822541212+00:00,0x224e69025a2f705c8f31efb6694398f8fd09ac5c,ADDRESS, writer ,,1,False,label-sync
0,2023-03-16 21:15:36.862269151+00:00,0xb457f98d21e84fc94b96e35b09570d1853b64723,ADDRESS, safe multisig,,1,False,label-sync
0,2023-03-16 21:15:43.076070481+00:00,0x253ef258563e146f685e60219da56a6b75178e19,ADDRESS,name|rtfkt: deployer,,1,False,label-sync
0,2023-03-16 21:16:38.268260564+00:00,0x7c95feced3ffc449c7ca432ab5cb7d223c0c6b96,ADDRESS,name|twitfi: deployer,,1,False,label-sync
0,2023-03-16 21:16:41.259265953+00:00,0xf0f3be60347b9a93419cbc2576423ef849b645e4,ADDRESS, take action ,,1,False,label-sync
0,2023-03-16 21:17:41.359908725+00:00,0x5c56a26695585c5e9849c09367c694b711cedce4,ADDRESS, beacon depositor,,1,False,label-sync
0,2023-03-16 22:04:37.358182301+00:00,0x66542a766b6ff5af7f3ba40c5a572d116f0a0767,ADDRESS,name|aku the moon god: deployer,,1,False,label-sync
0,2023-03-16 22:04:39.463195440+00:00,0x1f670ec15f68f2011bc51f423a062565e13f5355,ADDRESS,name|glass crane: deployer,,1,False,label-sync
0,2023-03-16 22:04:40.269470243+00:00,0xf12d62083ed632c005e836779529e380b80410dc,ADDRESS,contract deployer,,1,False,label-sync
0,2023-03-16 22:04:41.226084158+00:00,0xee31de24bae8fd4e7c9fec8986d9953f39cd0a7d,ADDRESS,name|xcopy: deployer,,1,False,label-sync
0,2023-03-16 22:04:44.305181140+00:00,0x83695f776f5c8de31690e8a54e242a4567ba7a4b,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-16 22:05:37.875957330+00:00,0x500b2df6e6f5619c0f56040c7a668cb611bd07ed,ADDRESS,uniswap,,1,False,label-sync
0,2023-03-16 22:05:39.565330510+00:00,0x4848a07744e46bb3ea93ad4933075a4fa47b1162,ADDRESS,token contract,,1,False,label-sync
0,2023-03-16 22:05:42.844382693+00:00,0x558bfff0d583416f7c4e380625c7865821b8e95c,ADDRESS,nft,,1,False,label-sync
0,2023-03-16 22:07:38.222068525+00:00,0x64b3e851f32972fb07d8988f61374346d1117433,ADDRESS,name|rainicorn: deployer 1,,1,False,label-sync
0,2023-03-16 22:07:38.222068525+00:00,0xa91969bdad5af66ed33d161b769ebf1d79805897,ADDRESS,name|rainicorn: deployer 1,,1,False,label-sync
0,2023-03-16 22:07:57.884451796+00:00,0x1605cae2452e382ad90626008b68b0bc04806f70,ADDRESS,name|projectatama: deployer,,1,False,label-sync
0,2023-03-16 22:35:32.033611070+00:00,0xf411903cbc70a74d22900a5de66a2dda66507255,ADDRESS,token contract,,1,False,label-sync
